,Año,Indice,Variación anual %,Indice_base_2025,Indice_base_2024
0,2013,78.05,2.44,53.46505625304829,56.6729596282312
1,2014,79.56,1.94,54.49942185128151,57.769387162358406
2,2015,82.47,3.66,56.49280191145282,59.882370026139995
3,2016,88.05,6.77,60.31515955260605,63.93406912576242
4,2017,93.11,5.75,63.78131182218228,67.60819053151322
5,2018,96.92,4.09,66.39120117931378,70.37467325007262
6,2019,100.0,3.18,68.50103299557757,72.61109497531223
7,2020,103.8,3.8,71.10407224940951,75.3703165843741
8,2021,105.48,1.61,72.25488960373522,76.59018297995934
9,2022,111.41,5.62,76.31700086037297,80.89602091199535
10,2023,126.03,13.12,86.33185188432641,91.511762997386
11,2024,137.72,9.28,94.33962264150942,100.0
12,2025,145.9832,6.0,100.0,106.00000000000001
