FONDO,DTO,CÓDIGO DANE,ENTIDAD TERRITORIAL,APROPIACIÓN VIGENTE,Periodo
FTO,,,"FISCALIZACIÓN DE LA EXPLORACIÓN Y EXPLOTACIÓN DE LOS YACIMIENTOS,  Y CONOCIMIENTO Y CARTOGRAFÍA GEOLÓGICA DEL SUBSUELO"," 181,991,103,591 ",2012
FTO,,,"FUNCIONAMIENTO DEL SISTEMA DE MONITOREO, SEGUIMIENTO, CONTROL Y EVALUACIÓN"," 63,696,886,257 ",2012
FTO,,,FUNCIONAMIENTO DEL SISTEMA GENERAL DE REGALÍAS," 118,294,217,334 ",2012
FCTI,ANTIOQUIA,05000,ANTIOQUIA - DTO,"58,926,231,265",2012
FCTI,ATLÁNTICO,08000,ATLÁNTICO - DTO,"27,227,090,316",2012
FCTI,BOGOTÁ,11000,BOGOTÁ,"20,947,698,772",2012
FCTI,BOLÍVAR,13000,BOLÍVAR - DTO,"49,428,623,018",2012
FCTI,BOYACÁ,15000,BOYACÁ - DTO,"34,343,842,308",2012
FCTI,CALDAS,17000,CALDAS - DTO,"16,106,938,490",2012
FCTI,CAQUETÁ,18000,CAQUETÁ - DTO,"20,983,549,323",2012
FCTI,CAUCA,19000,CAUCA - DTO,"42,142,800,795",2012
FCTI,CESAR,20000,CESAR,"32,635,228,396",2012
FCTI,CÓRDOBA,23000,CÓRDOBA,"56,915,469,561",2012
FCTI,CUNDINAMARCA,25000,CUNDINAMARCA,"32,562,666,616",2012
FCTI,CHOCÓ,27000,CHOCÓ,"29,550,153,915",2012
FCTI,HUILA,41000,HUILA,"31,816,922,140",2012
FCTI,LA GUAJIRA,44000,LAGUAJIRA,"38,957,795,911",2012
FCTI,MAGDALENA,47000,MAGDALENA,"38,161,750,382",2012
FCTI,META,50000,META,"17,183,072,551",2012
FCTI,NARIÑO,52000,NARIÑO,"48,334,363,864",2012
FCTI,NORTE,54000,NORTEDESANTANDER,"31,295,614,866",2012
FCTI,QUINDÍO,63000,QUINDÍO,"7,203,086,183",2012
FCTI,RISARALDA,66000,RISARALDA,"13,696,101,879",2012
FCTI,SANTANDER,68000,SANTANDER,"26,551,164,750",2012
FCTI,SUCRE,70000,SUCRE,"35,770,107,715",2012
FCTI,TOLIMA,73000,TOLIMA,"25,969,551,688",2012
FCTI,VALLE DEL CAUCA,76000,VALLEDELCAUCA,"35,535,224,358",2012
FCTI,ARAUCA,81000,ARAUCA - DTO,"14,389,592,850",2012
FCTI,CASANARE,85000,CASANARE - DTO,"16,073,603,982",2012
FCTI,PUTUMAYO,86000,PUTUMAYO,"17,209,577,722",2012
FCTI,SAN ANDRÉS,88000,ARCHIP.SANANDRÉSPROVIDENCIASANT.CATALINA,"8,138,741,179",2012
FCTI,AMAZONAS,91000,AMAZONAS - DTO,"8,093,847,999",2012
FCTI,GUAINÍA,94000,GUAINÍA,"6,778,898,561",2012
FCTI,GUAVIARE,95000,GUAVIARE,"9,724,992,519",2012
FCTI,VAUPÉS,97000,VAUPÉS,"6,848,420,724",2012
FCTI,VICHADA,99000,VICHADA,"9,504,795,047",2012
FDR,ANTIOQUIA,05000,ANTIOQUIA - DTO," 69,401,433,523 ",2012
FDR,ATLÁNTICO,08000,ATLÁNTICO - DTO," 42,382,465,339 ",2012
FDR,BOGOTÁ,11000,BOGOTÁ," 57,351,499,426 ",2012
FDR,BOLÍVAR,13000,BOLÍVAR - DTO," 36,098,760,982 ",2012
FDR,BOYACÁ,15000,BOYACÁ - DTO," 29,442,377,332 ",2012
FDR,CALDAS,17000,CALDAS - DTO," 21,906,382,246 ",2012
FDR,CAQUETÁ,18000,CAQUETÁ - DTO," 19,543,508,508 ",2012
FDR,CAUCA,19000,CAUCA - DTO," 36,415,197,725 ",2012
FDR,CESAR,20000,CESAR," 17,061,557,731 ",2012
FDR,CÓRDOBA,23000,CÓRDOBA," 33,848,399,273 ",2012
FDR,CUNDINAMARCA,25000,CUNDINAMARCA," 40,181,781,691 ",2012
FDR,CHOCÓ,27000,CHOCÓ," 24,310,010,273 ",2012
FDR,HUILA,41000,HUILA, 0 ,2012
FDR,LA GUAJIRA,44000,LAGUAJIRA," 21,693,601,816 ",2012
FDR,MAGDALENA,47000,MAGDALENA," 35,846,867,646 ",2012
FDR,META,50000,META," 16,816,374,086 ",2012
FDR,NARIÑO,52000,NARIÑO," 43,379,132,276 ",2012
FDR,NORTE,54000,NORTEDESANTANDER," 30,198,149,937 ",2012
FDR,QUINDÍO,63000,QUINDÍO," 15,002,814,726 ",2012
FDR,RISARALDA,66000,RISARALDA," 21,139,432,680 ",2012
FDR,SANTANDER,68000,SANTANDER," 25,097,083,161 ",2012
FDR,SUCRE,70000,SUCRE," 31,009,227,151 ",2012
FDR,TOLIMA,73000,TOLIMA," 7,988,606,942 ",2012
FDR,VALLE DEL CAUCA,76000,VALLEDELCAUCA," 51,599,560,716 ",2012
FDR,ARAUCA,81000,ARAUCA - DTO, 0 ,2012
FDR,CASANARE,85000,CASANARE - DTO, 0 ,2012
FDR,PUTUMAYO,86000,PUTUMAYO," 11,957,459,595 ",2012
FDR,SAN ANDRÉS,88000,ARCHIP.SANANDRÉSPROVIDENCIASANT.CATALINA," 6,506,615,719 ",2012
FDR,AMAZONAS,91000,AMAZONAS - DTO," 6,682,470,714 ",2012
FDR,GUAINÍA,94000,GUAINÍA," 5,211,498,449 ",2012
FDR,GUAVIARE,95000,GUAVIARE," 7,978,777,399 ",2012
FDR,VAUPÉS,97000,VAUPÉS," 5,214,906,119 ",2012
FDR,VICHADA,99000,VICHADA," 7,431,781,698 ",2012
FCR 60%,ANTIOQUIA,05000,ANTIOQUIA - DTO," 24,457,187,011 ",2012
FCR 60%,ATLÁNTICO,08000,ATLÁNTICO - DTO," 16,906,987,597 ",2012
FCR 60%,BOLÍVAR,13000,BOLÍVAR - DTO," 53,174,894,785 ",2012
FCR 60%,BOYACÁ,15000,BOYACÁ - DTO," 36,628,582,874 ",2012
FCR 60%,CALDAS,17000,CALDAS - DTO," 10,448,250,613 ",2012
FCR 60%,CAQUETÁ,18000,CAQUETÁ - DTO," 28,839,031,778 ",2012
FCR 60%,CAUCA,19000,CAUCA - DTO," 46,353,610,481 ",2012
FCR 60%,CESAR,20000,CESAR," 40,207,567,505 ",2012
FCR 60%,CÓRDOBA,23000,CÓRDOBA," 57,778,224,893 ",2012
FCR 60%,CUNDINAMARCA,25000,CUNDINAMARCA," 16,232,022,120 ",2012
FCR 60%,CHOCÓ,27000,CHOCÓ," 39,912,799,764 ",2012
FCR 60%,HUILA,41000,HUILA," 35,469,404,000 ",2012
FCR 60%,LA GUAJIRA,44000,LAGUAJIRA," 45,505,397,525 ",2012
FCR 60%,MAGDALENA,47000,MAGDALENA," 44,045,494,492 ",2012
FCR 60%,META,50000,META," 11,619,998,714 ",2012
FCR 60%,NARIÑO,52000,NARIÑO," 52,877,734,487 ",2012
FCR 60%,NORTE,54000,NORTEDESANTANDER," 37,577,704,482 ",2012
FCR 60%,QUINDÍO,63000,QUINDÍO," 10,564,981,702 ",2012
FCR 60%,RISARALDA,66000,RISARALDA," 10,435,240,246 ",2012
FCR 60%,SANTANDER,68000,SANTANDER," 14,822,794,309 ",2012
FCR 60%,SUCRE,70000,SUCRE," 41,604,067,382 ",2012
FCR 60%,TOLIMA,73000,TOLIMA," 15,654,149,077 ",2012
FCR 60%,VALLE DEL CAUCA,76000,VALLEDELCAUCA," 17,865,534,214 ",2012
FCR 60%,ARAUCA,81000,ARAUCA - DTO," 20,641,661,877 ",2012
FCR 60%,CASANARE,85000,CASANARE - DTO," 23,035,513,941 ",2012
FCR 60%,PUTUMAYO,86000,PUTUMAYO," 23,057,267,921 ",2012
FCR 60%,SAN ANDRÉS,88000,ARCHIP.SANANDRÉSPROVIDENCIASANT.CATALINA," 13,463,931,257 ",2012
FCR 60%,AMAZONAS,91000,AMAZONAS - DTO," 14,003,074,569 ",2012
FCR 60%,GUAINÍA,94000,GUAINÍA," 12,757,730,197 ",2012
FCR 60%,GUAVIARE,95000,GUAVIARE," 15,370,022,299 ",2012
FCR 60%,VAUPÉS,97000,VAUPÉS," 12,464,428,781 ",2012
FCR 60%,VICHADA,99000,VICHADA," 16,542,153,556 ",2012
FCR 30%,ANTIOQUIA,05031,AMALFI-ANTIOQUIA," 661,753,683 ",2012
FCR 30%,ANTIOQUIA,05038,ANGOSTURA-ANTIOQUIA," 358,048,083 ",2012
FCR 30%,ANTIOQUIA,05040,ANORÍ-ANTIOQUIA," 503,532,862 ",2012
FCR 30%,ANTIOQUIA,05042,SANTAFÉDEANTIOQUIA-ANTIOQUIA," 735,536,999 ",2012
FCR 30%,ANTIOQUIA,05044,ANZA-ANTIOQUIA," 230,503,978 ",2012
FCR 30%,ANTIOQUIA,05051,ARBOLETES-ANTIOQUIA," 1,136,569,221 ",2012
FCR 30%,ANTIOQUIA,05055,ARGELIA-ANTIOQUIA," 278,845,827 ",2012
FCR 30%,ANTIOQUIA,05059,ARMENIA-ANTIOQUIA," 137,279,829 ",2012
FCR 30%,ANTIOQUIA,05093,BETULIA-ANTIOQUIA," 530,168,333 ",2012
FCR 30%,ANTIOQUIA,05107,BRICEÑO-ANTIOQUIA," 267,211,943 ",2012
FCR 30%,ANTIOQUIA,05113,BURITICÁ-ANTIOQUIA," 205,613,589 ",2012
FCR 30%,ANTIOQUIA,05120,CÁCERES-ANTIOQUIA," 1,067,408,843 ",2012
FCR 30%,ANTIOQUIA,05125,CAICEDO-ANTIOQUIA," 246,454,645 ",2012
FCR 30%,ANTIOQUIA,05134,CAMPAMENTO-ANTIOQUIA," 283,805,535 ",2012
FCR 30%,ANTIOQUIA,05138,CAÑASGORDAS-ANTIOQUIA," 514,125,820 ",2012
FCR 30%,ANTIOQUIA,05147,CAREPA-ANTIOQUIA," 1,583,126,668 ",2012
FCR 30%,ANTIOQUIA,05154,CAUCASIA-ANTIOQUIA," 3,193,746,040 ",2012
FCR 30%,ANTIOQUIA,05172,CHIGORODÓ-ANTIOQUIA," 2,162,922,700 ",2012
FCR 30%,ANTIOQUIA,05197,COCORNÁ-ANTIOQUIA," 459,630,258 ",2012
FCR 30%,ANTIOQUIA,05209,CONCORDIA-ANTIOQUIA," 640,537,152 ",2012
FCR 30%,ANTIOQUIA,05234,DABEIBA-ANTIOQUIA," 723,841,884 ",2012
FCR 30%,ANTIOQUIA,05240,EBÉJICO-ANTIOQUIA," 383,183,395 ",2012
FCR 30%,ANTIOQUIA,05250,ELBAGRE-ANTIOQUIA," 1,486,932,818 ",2012
FCR 30%,ANTIOQUIA,05284,FRONTINO-ANTIOQUIA," 538,434,514 ",2012
FCR 30%,ANTIOQUIA,05306,GIRALDO-ANTIOQUIA," 124,819,328 ",2012
