FONDO,DTO,CÓDIGO DANE,ENTIDAD TERRITORIAL,APROPIACIÓN VIGENTE,Periodo
ADMINISTRACIÓN DEL SGR,,,"FISCALIZACIÓN DE LA EXPLORACIÓN Y EXPLOTACIÓN DE LOS YACIMIENTOS,  Y CONOCIMIENTO Y CARTOGRAFÍA GEOLÓGICA DEL SUBSUELO",181991103591.0,2012
ADMINISTRACIÓN DEL SGR,,,"FUNCIONAMIENTO DEL SISTEMA DE MONITOREO, SEGUIMIENTO, CONTROL Y EVALUACIÓN",63696886257.0,2012
ADMINISTRACIÓN DEL SGR,,,FUNCIONAMIENTO DEL SISTEMA GENERAL DE REGALÍAS,118294217334.0,2012
FCTI,ANTIOQUIA,05000,ANTIOQUIA - DTO,58926231265.0,2012
FCTI,ATLÁNTICO,08000,ATLÁNTICO - DTO,27227090316.0,2012
FCTI,BOGOTÁ D.C.,11000,BOGOTÁ,20947698772.0,2012
FCTI,BOLÍVAR,13000,BOLÍVAR - DTO,49428623018.0,2012
FCTI,BOYACÁ,15000,BOYACÁ - DTO,34343842308.0,2012
FCTI,CALDAS,17000,CALDAS - DTO,16106938490.0,2012
FCTI,CAQUETÁ,18000,CAQUETÁ - DTO,20983549323.0,2012
FCTI,CAUCA,19000,CAUCA - DTO,42142800795.0,2012
FCTI,CESAR,20000,CESAR,32635228396.0,2012
FCTI,CÓRDOBA,23000,CÓRDOBA,56915469561.0,2012
FCTI,CUNDINAMARCA,25000,CUNDINAMARCA,32562666616.0,2012
FCTI,CHOCÓ,27000,CHOCÓ,29550153915.0,2012
FCTI,HUILA,41000,HUILA,31816922140.0,2012
FCTI,LA GUAJIRA,44000,LAGUAJIRA,38957795911.0,2012
FCTI,MAGDALENA,47000,MAGDALENA,38161750382.0,2012
FCTI,META,50000,META,17183072551.0,2012
FCTI,NARIÑO,52000,NARIÑO,48334363864.0,2012
FCTI,NORTE,54000,NORTEDESANTANDER,31295614866.0,2012
FCTI,QUINDÍO,63000,QUINDÍO,7203086183.0,2012
FCTI,RISARALDA,66000,RISARALDA,13696101879.0,2012
FCTI,SANTANDER,68000,SANTANDER,26551164750.0,2012
FCTI,SUCRE,70000,SUCRE,35770107715.0,2012
FCTI,TOLIMA,73000,TOLIMA,25969551688.0,2012
FCTI,VALLE DEL CAUCA,76000,VALLEDELCAUCA,35535224358.0,2012
FCTI,ARAUCA,81000,ARAUCA - DTO,14389592850.0,2012
