Periodo,CONCEPTO 1,CONCEPTO 2,CONCEPTO 3,CONCEPTO 4,Presupuesto de ley,Instrucción de abono a cuenta,año,Índice,indice_2024,presupuesto_ley_pc,instruccion_abono_pc
2012,INVERSIÓN,Asignaciones Directas,,,3001484975576.0,3336589498236.0,2012,78.05,53.69900486559081,5589461076771.8125,6213503409583.697
2012,INVERSIÓN,Fondo de Desarrollo Regional -FDR - Inversión,,,778697734879.0,910652961491.0,2012,78.05,53.69900486559081,1450115764394.6829,1695846997109.8613
2012,INVERSIÓN,Fondo de Compensación Regional (FCR 60%),,,860317444449.0,1006103643966.0,2012,78.05,53.69900486559081,1602110591439.048,1873598303142.2805
2012,INVERSIÓN,Fondo de Compensación Regional (FCR 40%),,,573544962966.0,670735762644.0,2012,78.05,53.69900486559081,1068073727626.032,1249065535428.187
2012,INVERSIÓN,"Asignación para Ciencia, Tecnología e Innovación",,,869007519645.0,1016266307036.0,2012,78.05,53.69900486559081,1618293526705.2627,1892523538526.879
2012,INVERSIÓN,Municipios Rio Magdalena y Canal del Dique,,,45497775898.0,53207660054.0,2012,78.05,53.69900486559081,84727409775.80763,99085002016.66559
2012,AHORRO,FONPET,,,869007519645.0,1016266307036.0,2012,78.05,53.69900486559081,1618293526705.2627,1892523538526.879
2012,AHORRO,FAE,,,1738015039290.0,2032532614073.0,2012,78.05,53.69900486559081,3236587053410.5254,3785047077055.62
2012,OTROS,"Fiscalización, Yacimientos y Cartografía",,,181991103591.0,212830640217.0,2012,78.05,53.69900486559081,338909639101.3683,396340008068.5246
2012,OTROS,Sistema de Monitoreo,,,63696886257.0,74490724076.0,2012,78.05,53.69900486559081,118618373685.75824,138719002824.07672
2012,OTROS,Funcionamiento,,,118294217334.0,138339916141.0,2012,78.05,53.69900486559081,220291265415.61005,257621005244.44788
2013-2014,INVERSIÓN,Asignaciones Directas,,,3630993526080.0,3588618167430.94,2014,82.47,56.73999911935009,6399354216489.085,6324670819755.283
2013-2014,INVERSIÓN,Fondo de Desarrollo Regional -FDR - Inversión,,,1792710198940.0,1749017938221.75,2014,82.47,56.73999911935009,3159517495178.512,3082513157151.7437
2013-2014,INVERSIÓN,Fondo de Desarrollo Regional -FDR - Compensaciones,,,846245937234.0,808779801426.41,2014,82.47,56.73999911935009,1491445101107.5254,1425413842050.2568
2013-2014,INVERSIÓN,Fondo de Compensación Regional (FCR 60%),,,2375060522555.0,2302431978374.11,2014,82.47,56.73999911935009,4185866336654.6143,4057863965649.78
2013-2014,INVERSIÓN,Fondo de Compensación Regional (FCR 40%),,,1583373681710.0,1534954645456.24,2014,82.47,56.73999911935009,2790577557781.492,2705242631794.0723
2013-2014,INVERSIÓN,"Asignación para Ciencia, Tecnología e Innovación",,,1675129810563.0,1636830932347.25,2014,82.47,56.73999911935009,2952290864579.3916,2884791959379.922
2013-2014,INVERSIÓN,Municipios Rio Magdalena y Canal del Dique,,,88631206908.0,86603561436.91,2014,82.47,56.73999911935009,156205865850.5936,152632292529.1966
2013-2014,AHORRO,FONPET,,,1675129810568.0,1636830925175.54,2014,82.47,56.73999911935009,2952290864588.2036,2884791946740.3203
2013-2014,AHORRO,FAE,,,3172654618009.0,3110384866818.36,2014,82.47,56.73999911935009,5591566209466.201,5481820435484.679
2013-2014,OTROS,"Fiscalización, Yacimientos y Cartografía",,,354524827633.0,346414245747.63,2014,82.47,56.73999911935009,624823463404.1368,610529170116.7687
2013-2014,OTROS,Sistema de Monitoreo,,,177262413816.0,173136259304.9,2014,82.47,56.73999911935009,312411731701.1872,305139693324.13184
2013-2014,OTROS,Funcionamiento,,,354524827633.0,346248897420.16,2014,82.47,56.73999911935009,624823463404.1368,610237756070.1766
2015-2016,INVERSIÓN,Asignaciones Directas,,Ingresos Corrientes,1874101939001.72,1475582001324.71,2016,93.11,64.06040157636336,2925523245070.033,2303422964911.8555
2015-2016,INVERSIÓN,Asignaciones Directas,,Desahorro FAE,353823761679.11,353823761679.11,2016,93.11,64.06040157636336,552328354135.1727,552328354135.1727
2015-2016,INVERSIÓN,Asignaciones Directas,,Rendimientos financieros,400000000000.0,400000000000.0,2016,93.11,64.06040157636336,624410697025.0242,624410697025.0242
2015-2016,INVERSIÓN,Fondo de Desarrollo Regional -FDR - Inversión,,,1805807481664.06,1276693881782.48,2016,93.11,64.06040157636336,2818913770797.148,1992953291528.4553
2015-2016,INVERSIÓN,Fondo de Desarrollo Regional -FDR - Compensaciones,,,1192755620738.7,816004999697.31,2016,93.11,64.06040157636336,1861923421314.9175,1273805626592.255
2015-2016,INVERSIÓN,Fondo de Compensación Regional (FCR 60%),,,2698706792162.48,1885818898641.07,2016,93.11,64.06040157636336,4212753472900.853,2943813732408.585
2015-2016,INVERSIÓN,Fondo de Compensación Regional (FCR 40%),,,1799137861441.66,1257212599093.96,2016,93.11,64.06040157636336,2808502315267.2456,1962542488272.2544
2015-2016,INVERSIÓN,"Asignación para Ciencia, Tecnología e Innovación",,,1650934166681.62,1170265488599.72,2016,93.11,64.06040157636336,2577152384400.2446,1826815723602.204
2015-2016,INVERSIÓN,Municipios Rio Magdalena y Canal del Dique,,,87351014110.14,61911594407.91,2016,93.11,64.06040157636336,136357269015.88809,96645654545.43419
2015-2016,AHORRO,FONPET,,,1650934166681.62,1170265488599.76,2016,93.11,64.06040157636336,2577152384400.2446,1826815723602.2666
2015-2016,AHORRO,FAE,,,3836963638444.34,2644289538069.2,2016,93.11,64.06040157636336,5989602849851.758,4127806684004.421
2015-2016,OTROS,"Fiscalización, Yacimientos y Cartografía",,,349404056440.56,247646377631.67,2016,93.11,64.06040157636336,545429076063.55237,386582618181.78357
2015-2016,OTROS,Sistema de Monitoreo,,,174702028220.28,123414125945.62,2016,93.11,64.06040157636336,272714538031.77618,192652751011.09674
