Beneficiario,Beneficiario 2,Apropiación vigente disponible,Caja total,Periodo,año,Índice,indice_2024,aprop_vig_pc,caja_total_pc
Órganos SGR,DNP,6700000000,6700000000,2012,2012,78.05,53.69900486559081,12476953747.597694,12476953747.597694
Órganos SGR,Comisión Rectora - DNP,300000000,300000000,2012,2012,78.05,53.69900486559081,558669570.7879565,558669570.7879565
Órganos SGR,Ministerio de Hacienda y Crédito Público,6500000000,6500000000,2012,2012,78.05,53.69900486559081,12104507367.07239,12104507367.07239
Órganos SGR,Ministerio de Ciencia Tecnología e Innovación,6500000000,6500000000,2012,2012,78.05,53.69900486559081,12104507367.07239,12104507367.07239
ST de los OCAD - Pueblos y Comunidades Étnicas,Municipales,52375000000,52375000000,2012,2012,78.05,53.69900486559081,97534395900.06406,97534395900.06406
ST de los OCAD - Pueblos y Comunidades Étnicas,Departamentales,4000000000,4000000000,2012,2012,78.05,53.69900486559081,7448927610.506086,7448927610.506086
ST de los OCAD - Pueblos y Comunidades Étnicas,Regionales (ST OCAD  Regionales),1200000000,1200000000,2012,2012,78.05,53.69900486559081,2234678283.151826,2234678283.151826
ST de los OCAD - Pueblos y Comunidades Étnicas,CAR,1000000000,1000000000,2012,2012,78.05,53.69900486559081,1862231902.6265216,1862231902.6265216
Otras entidades y conceptos,DNP -  SIEC,37000000000,37000000000,2012,2012,78.05,53.69900486559081,68902580397.18129,68902580397.18129
Otras entidades y conceptos,Recursos por distribuir,2719217334,2719217334,2012,2012,78.05,53.69900486559081,5063813269.549837,5063813269.549837
Órganos SGR,DNP,37298822378,37298822378,2013-2014,2014,82.47,56.73999911935009,65736381665.32849,65736381665.32849
Órganos SGR,Comisión Rectora - DNP,700000000,700000000,2013-2014,2014,82.47,56.73999911935009,1233697587.0013335,1233697587.0013335
Órganos SGR,Ministerio de Hacienda y Crédito Público,12500000000,12500000000,2013-2014,2014,82.47,56.73999911935009,22030314053.59524,22030314053.59524
Órganos SGR,Ministerio de Minas y Energía,3000000000,3000000000,2013-2014,2014,82.47,56.73999911935009,5287275372.862858,5287275372.862858
Órganos SGR,Ministerio de Ciencia Tecnología e Innovación,16304561737,16304561737,2013-2014,2014,82.47,56.73999911935009,28735569245.787388,28735569245.787388
ST de los OCAD - Pueblos y Comunidades Étnicas,Municipales,104417000000,104417000000,2013-2014,2014,82.47,56.73999911935009,184027144202.74036,184027144202.74036
ST de los OCAD - Pueblos y Comunidades Étnicas,Departamentales,8250000000,8250000000,2013-2014,2014,82.47,56.73999911935009,14540007275.37286,14540007275.37286
