Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Periodo,Regalías causadas,Regalías causadas %
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENA DE CANTERA,Arenas (M3),2012,1493871.0,4.14578963496862e-08
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENA DE CANTERA,Arenas (M3),2013-2014,12196868.23,3.384873920640542e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENA DE CANTERA,Arenas (M3),2015-2016,2675695.4499999997,7.425587927567171e-08
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENA DE RIO,Arenas (M3),2012,549651.0,1.5253910268357425e-08
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2013-2014,5771.0,1.6015674702436764e-10
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2015-2016,4705592.0,1.3058955251150374e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2017-2018,39215575.96,1.0883103584197873e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2019-2020,89949386.73,2.4962746795206414e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2021-2022,201093978.43,5.5807585221863025e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2023-2024,58579855.0,1.6257076794245602e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2012,2846567.85,7.89979287887971e-08
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2013-2014,17722782.42,4.918425195993502e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2015-2016,2999832.62,8.325133149138554e-08
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,5404146.0,1.4997581767540257e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2013-2014,9970226.5,2.766936481261733e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2015-2016,41137365.5,1.141643846756619e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2017-2018,221777511.69,6.154767776023057e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2019-2020,206707640.16,5.736548818767828e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2021-2022,329081144.18,9.132657348626878e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2023-2024,206707460.0,5.736543818968912e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2013-2014,8937933.42,2.4804545861507206e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2015-2016,29150816.0,8.089932184484298e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2017-2018,59845141.489999995,1.6608219002341736e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2019-2020,51151196.75,1.4195476135649637e-06
5001,Medellin,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2021-2022,14800004.28,4.107296034364093e-07
5001,Medellin,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2023-2024,32290932.0,8.961376932082927e-07
5001,Medellin,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,193661229.51,5.374484932084746e-06
5001,Medellin,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2023-2024,23040275.09,6.394135347359156e-07
5001,Medellin,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,397524.58999999997,1.1032099323617303e-08
5001,Medellin,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2023-2024,45725.29,1.268967891725151e-09
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS,Arcillas (Ton),2017-2018,614258.0,1.7046883228850114e-08
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2013-2014,2036781.0,5.652473043857885e-08
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2021-2022,10625362.0,2.948749634164493e-07
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS FERRUGINOSAS,Arcillas (Ton),2012,836927.0,2.322639158150458e-08
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,493082.0,1.3684007821221493e-08
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2013-2014,40487684.0,1.123613890831838e-06
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2015-2016,20643356.0,5.728942548303521e-07
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2017-2018,36566792.0,1.014801326604864e-06
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2019-2020,34691261.0,9.627516049096015e-07
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2021-2022,40266906.0,1.1174868614964462e-06
5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2023-2024,28502067.0,7.909891412563813e-07
5001,Medellin,Antioquia,Otro Mineral No Metalico (m3),ARENAS SILICEAS,Arenas (M3),2021-2022,16699386.0,4.634412301272338e-07
5001,Medellin,Antioquia,Otro Mineral No Metalico (m3),ARENAS SILICEAS,Arenas (M3),2023-2024,38082668.0,1.0568699055430567e-06
5002,Abejorral,Antioquia,Materiales Construcción (M3),RECEBO,Mat Cons (M3),2013-2014,186687.24,5.18094282955422e-09
5002,Abejorral,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,3440572.32,9.54827362109308e-08
5002,Abejorral,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2013-2014,5262117.24,1.4603423663476755e-07
5002,Abejorral,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2015-2016,47166481.48,1.308963826446349e-06
5002,Abejorral,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2017-2018,840290.16,2.3319725971614174e-08
5002,Abejorral,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2019-2020,133820.45,3.713784085485538e-09
5002,Abejorral,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2013-2014,15975.46,4.433508414170688e-10
5002,Abejorral,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2019-2020,156.07,4.331253423686199e-12
5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2013-2014,14085239.8,3.9089346515788503e-07
5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2015-2016,14443232.03,4.0082846273487324e-07
5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2017-2018,13962652.0,3.874914094876591e-07
5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2019-2020,11922101.0,3.308620540384613e-07
5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2021-2022,18981633.0,5.267781310848013e-07
5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2023-2024,2088159.0,5.7950572294170244e-08
