,Código DANE,Municipio,Departamento,clasificacion,Recurso Natural,min agrupado,Año Liquidado,Periodo,Regalías causadas,Índice,year,regalias_causadas_pc,indice_2024
0,5001,Medellin,Antioquia,Materiales Construcción (M3),ARENA DE CANTERA,Arenas (M3),2012,2012,1493871.0,78.05,2012,2781934.234608584,53.69900486559081
1,5001,Medellin,Antioquia,Materiales Construcción (M3),ARENA DE RIO,Arenas (M3),2012,2012,549651.0,78.05,2012,1023577.6275105702,53.69900486559081
2,5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVA DE CANTERA,Gravas (M3),2012,2012,2846567.85,78.05,2012,5300969.463260987,53.69900486559081
3,5001,Medellin,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,5404146.0,78.05,2012,10063773.087651506,53.69900486559081
4,5001,Medellin,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,193661229.51,78.05,2012,360642119.89539874,53.69900486559081
5,5001,Medellin,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,397524.59,78.05,2012,740282.9735765279,53.69900486559081
6,5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS FERRUGINOSAS,Arcillas (Ton),2012,2012,836927.0,78.05,2012,1558552.1595695068,53.69900486559081
7,5001,Medellin,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,493082.0,78.05,2012,918233.0310108905,53.69900486559081
8,5002,Abejorral,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,3440572.32,78.05,2012,6407143.537597745,53.69900486559081
9,5002,Abejorral,Antioquia,Otro Mineral No Metalico (Ton),CALIZAS,Calizas (Ton),2012,2012,11211408.0,78.05,2012,20878241.650962204,53.69900486559081
10,5004,Abriaqui,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,11208139.53,78.05,2012,20872155.001855426,53.69900486559081
11,5004,Abriaqui,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,5024.55,78.05,2012,9356.877306342089,53.69900486559081
12,5030,Amaga,Antioquia,Carbon (Ton),CARBON,Carbon (Ton),2012,2012,1051738901.34,78.05,2012,1958581735.3087156,53.69900486559081
13,5030,Amaga,Antioquia,Materiales Construcción (M3),ARENAS,Arenas (M3),2012,2012,5000.0,78.05,2012,9311.159513132607,53.69900486559081
14,5030,Amaga,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS,Arcillas (Ton),2012,2012,635566.0,78.05,2012,1183571.2814247278,53.69900486559081
15,5030,Amaga,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2012,2012,257919.0,78.05,2012,480304.9900935298,53.69900486559081
16,5030,Amaga,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,1073606.0,78.05,2012,1999303.3440512493,53.69900486559081
17,5031,Amalfi,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,1143869888.83,78.05,2012,2130150999.4330783,53.69900486559081
18,5031,Amalfi,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,3488399.67,78.05,2012,6496209.15458583,53.69900486559081
19,5034,Andes,Antioquia,Materiales Construcción (M3),ARENA DE RIO,Arenas (M3),2012,2012,30150.0,78.05,2012,56146.291864189625,53.69900486559081
20,5034,Andes,Antioquia,Materiales Construcción (M3),GRAVAS,Gravas (M3),2012,2012,409727.0,78.05,2012,763006.6907674568,53.69900486559081
21,5034,Andes,Antioquia,Materiales Construcción (M3),GRAVAS DE RIO,Gravas (M3),2012,2012,324182.0,78.05,2012,603702.062657271,53.69900486559081
22,5034,Andes,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,49065207.35,78.05,2012,91370794.43615529,53.69900486559081
23,5034,Andes,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,458554.78,78.05,2012,853935.340417886,53.69900486559081
24,5034,Andes,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2012,2012,17913.0,78.05,2012,33358.16007174888,53.69900486559081
25,5034,Andes,Antioquia,Otro Mineral No Metalico (m3),ARENAS SILICEAS,Arenas (M3),2012,2012,1905.0,78.05,2012,3547.5517745035236,53.69900486559081
26,5036,Angelopolis,Antioquia,Carbon (Ton),CARBON,Carbon (Ton),2012,2012,54852809.23,78.05,2012,102148651.2967925,53.69900486559081
27,5036,Angelopolis,Antioquia,Materiales Construcción (M3),ARENA DE RIO,Arenas (M3),2012,2012,9930.0,78.05,2012,18491.96279308136,53.69900486559081
28,5036,Angelopolis,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS CERAMICAS,Arcillas (Ton),2012,2012,3343069.0,78.05,2012,6225569.744481742,53.69900486559081
29,5036,Angelopolis,Antioquia,Rocas Ornamentales (Ton),SERPENTINITA,Rocas Ornamentales (Ton),2012,2012,1293566.0,78.05,2012,2408919.873352979,53.69900486559081
30,5038,Angostura,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,1833352126.65,78.05,2012,3414126818.995809,53.69900486559081
31,5038,Angostura,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,4746546.22,78.05,2012,8839169.798175324,53.69900486559081
32,5040,Anori,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,299264141.12,78.05,2012,557299230.9057895,53.69900486559081
33,5040,Anori,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,684691.77,78.05,2012,1275054.8575598206,53.69900486559081
34,5042,Santafe de Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,181244790.52,78.05,2012,337519831.09120494,53.69900486559081
35,5042,Santafe de Antioquia,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,1466914.96,78.05,2012,2731735.8369521075,53.69900486559081
36,5044,Anza,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,8822057.68,78.05,2012,16428717.258507315,53.69900486559081
37,5044,Anza,Antioquia,Metales Preciosos (Gr),PLATA,Plata (Gr),2012,2012,13151.71,78.05,2012,24491.533936092248,53.69900486559081
38,5045,Apartado,Antioquia,Otro Mineral No Metalico (Ton),ARCILLAS MISCELANEAS,Arcillas (Ton),2012,2012,1066429.0,78.05,2012,1985938.1056860988,53.69900486559081
39,5055,Argelia - Antioquia,Antioquia,Metales Preciosos (Gr),ORO,Oro (Gr),2012,2012,18498895.97,78.05,2012,34449234.23870319,53.69900486559081
